lessonId,courseId,module,lessonTitle,candidateFilename,candidateLocalPath,score,llmConfidence,llmRationale,approved_lessonId
04_workshops_w01_feb_ads_001,04_workshops,w01_feb_ads,"Ошибки селлеров, которые сливают бюджет и мешают продвижению",den_1.mp4,E:/Academy Courses/04_workshops/w01_feb_ads/den_1.mp4,5.00,,,04_workshops_w01_feb_ads_001
04_workshops_w01_feb_ads_002,04_workshops,w01_feb_ads,Страх и ненависть на Wildberries: как сделать рекламу ещё эффективнее,den_2.mp4,E:/Academy Courses/04_workshops/w01_feb_ads/den_2.mp4,5.00,,,04_workshops_w01_feb_ads_002
04_workshops_w01_feb_ads_003,04_workshops,w01_feb_ads,Внешняя реклама для маркетплейсов: пошаговый план,den_3.mp4,E:/Academy Courses/04_workshops/w01_feb_ads/den_3.mp4,5.00,,,04_workshops_w01_feb_ads_003
04_workshops_w06_jul_q4_001,04_workshops,w06_jul_q4,Q4 под контролем: пошаговый план подготовки к сезону высоких продаж,001_den_1._uspeh_v_q4_rukovodstvo_dlya_pikovogo_sezona.mp4,E:/Academy Courses/04_workshops/w06_jul_q4/001_den_1._uspeh_v_q4_rukovodstvo_dlya_pikovogo_sezona.mp4,5.50,,,04_workshops_w06_jul_q4_001
04_workshops_w09_oct_ai2_002,04_workshops,w09_oct_ai2,"Контент, который продает",1._1_den._kontent_kotoryy_prodaet.mp4,E:/Academy Courses/04_workshops/w09_oct_ai2/1._1_den._kontent_kotoryy_prodaet.mp4,5.00,,SWAP-FIX: alpha sort '002_*' < '1.*' inverted day mapping; manually paired by title vs filename content,04_workshops_w09_oct_ai2_002
04_workshops_w09_oct_ai2_001,04_workshops,w09_oct_ai2,Нейроассистенты в действии,002_2_den._neyroseti_2.0.mp4,E:/Academy Courses/04_workshops/w09_oct_ai2/002_2_den._neyroseti_2.0.mp4,5.00,,SWAP-FIX: alpha sort '002_*' < '1.*' inverted day mapping; manually paired by title vs filename content,04_workshops_w09_oct_ai2_001
