lessonId,courseId,module,lessonTitle,candidateFilename,candidateLocalPath,score,llmConfidence,llmRationale,approved_lessonId
01_analytics_m02_economics_013,01_analytics,m02_economics,Анализ условий акций: как принять решение о запуске,006_1_analiz_uslovii_aktsii_kak_prinyat_reshenie_o_zap.mp4,E:/Academy Courses/01_analytics/m02_economics/006_1_analiz_uslovii_aktsii_kak_prinyat_reshenie_o_zap.mp4,5.00,,,01_analytics_m02_economics_013
01_analytics_m04_product_selection_001,01_analytics,m04_product_selection,Типичные ошибки при выборе товара,001_tipichnye_oshibki_pri_vybore_tovara.mp4,E:/Academy Courses/01_analytics/m04_product_selection/001_tipichnye_oshibki_pri_vybore_tovara.mp4,5.00,,,01_analytics_m04_product_selection_001
01_analytics_m05_assortment_001,01_analytics,m05_assortment,"Принципы, методология и применение ABC XYZ-анализа | ABC XYZ-анализ, 1",2_obrabotka_dannyh_s_pomoschyu_abc_xyz_analiza.mp4,E:/Academy Courses/01_analytics/m05_assortment/2_obrabotka_dannyh_s_pomoschyu_abc_xyz_analiza.mp4,5.00,,,01_analytics_m05_assortment_001
